GTYPE,PTYPE_ID
00000,0
00001,1
00010,0
00011,0
00100,0
00101,1
00110,0
00111,0
01000,1
01001,2
01010,0
01011,1
01100,0
01101,1
01110,0
01111,0
10000,1
10001,2
10010,0
10011,1
10100,1
10101,1
10110,0
10111,0
11000,2
11001,3
11010,1
11011,2
11100,1
11101,2
11110,0
11111,1
